# 专利技术相关自定义词典
# 格式：词语 词频 词性

# 技术领域关键词
机器学习 100 n
深度学习 100 n
神经网络 100 n
人工智能 100 n
大数据 100 n
云计算 100 n
物联网 100 n
区块链 100 n
虚拟现实 100 n
增强现实 100 n
5G通信 100 n
量子计算 100 n
生物识别 100 n
自然语言处理 100 n
计算机视觉 100 n
语音识别 100 n
图像识别 100 n
推荐系统 100 n
智能制造 100 n
工业互联网 100 n

# 专利技术术语
发明专利 100 n
实用新型 100 n
外观设计 100 n
专利权人 100 n
专利申请 100 n
专利审查 100 n
技术方案 100 n
技术特征 100 n
权利要求 100 n
说明书 100 n
摘要 100 n
附图 100 n
技术效果 100 n
技术问题 100 n
现有技术 100 n
背景技术 100 n

# 算法和方法
遗传算法 100 n
蚁群算法 100 n
粒子群优化 100 n
支持向量机 100 n
随机森林 100 n
决策树 100 n
朴素贝叶斯 100 n
K均值聚类 100 n
层次聚类 100 n
密度聚类 100 n
回归分析 100 n
时间序列 100 n
预测模型 100 n
分类模型 100 n
聚类分析 100 n

# 技术应用领域
医疗影像 100 n
智能交通 100 n
智慧城市 100 n
智能家居 100 n
工业自动化 100 n
机器人技术 100 n
无人机技术 100 n
自动驾驶 100 n
智能电网 100 n
新能源技术 100 n
环境保护 100 n
食品安全 100 n
农业科技 100 n
教育技术 100 n

# 材料和技术
纳米材料 100 n
复合材料 100 n
智能材料 100 n
生物材料 100 n
光电材料 100 n
磁性材料 100 n
超导材料 100 n
高分子材料 100 n
陶瓷材料 100 n
合金材料 100 n

# 设备和系统
传感器网络 100 n
嵌入式系统 100 n
分布式系统 100 n
实时系统 100 n
容错系统 100 n
安全系统 100 n
监控系统 100 n
控制系统 100 n
管理系统 100 n
决策支持系统 100 n
